gap,variant,seconds_median,objective_median,vr_seconds,speedup_vs_vr
0.008,VR-PCA,0.0009895410000000382,0.005926730494172515,0.0009895410000000382,1.0
0.008,Projection-only,0.000308666000000013,0.00592673049417253,0.0009895410000000382,3.205863295601059
0.008,QR-only,0.0005077920000000624,0.0059267304941725265,0.0009895410000000382,1.9487132526702204
0.008,PVR-PCA,0.0003370839999998765,0.0059267304941725265,0.0009895410000000382,2.9355917219458676
0.016,VR-PCA,0.00045254200000011124,0.005860313039500002,0.00045254200000011124,1.0
0.016,Projection-only,0.0003050419999999221,0.005860313039499996,0.00045254200000011124,1.4835399715456457
0.016,QR-only,0.000491499999999867,0.005860313039499998,0.00045254200000011124,0.9207365208550023
0.016,PVR-PCA,0.0003338330000000056,0.005860313039499998,0.00045254200000011124,1.3555939646473047
0.032,VR-PCA,0.0004478329999999531,0.005729170197440821,0.0004478329999999531,1.0
0.032,Projection-only,0.00030237499999996587,0.005729170197440824,0.0004478329999999531,1.481051674245568
0.032,QR-only,0.0004910830000000033,0.0057291701974408245,0.0004478329999999531,0.9119293479919893
0.032,PVR-PCA,0.0003331250000000452,0.005729170197440823,0.0004478329999999531,1.3443392120071815
